Column1,Dias_acumulados,Ingresos,Costos
1,293,4.30051,8.03757
2,298,5.9,3.22553
3,300,1.7641,2.36
4,301,6.167624,2.292655158
5,311,1.2921,2.36
6,327,27.293518,7.581258336
7,328,281.041898,81.75474706
8,329,278.881318,64.27761425
9,332,1008.948026,280.5536867
10,333,999.888576,299.6641528
11,334,1035.20751,287.2532566
12,335,328.634366,104.2895569
13,336,951.904112,229.0182976
14,339,193.653576,48.3480738
15,340,702.186258,193.5151345
16,341,180.86214,35.43922114
17,342,127.271614,42.90155541
18,343,295.534658,76.62457611
19,346,301.313,105.6571841
20,347,12.99475,4.38673968
21,348,478.725056,129.8230683
22,350,20.641268,7.628952461
23,353,3.0385,1.947885
24,354,15.817074,7.727057543
25,357,12.584346,4.306440857
26,364,5.605,2.36
27,374,29.49941,17.53657
28,376,7.07941,2.36
29,384,0.6431,0.57879
30,397,5.7879,19.45879
31,403,27.265434,13.68383265
32,405,92.353998,23.0567129
33,406,8.14141,4.412315
34,409,107.89625,73.870065
35,410,122.634804,84.01671166
36,411,97.035884,35.29391458
37,412,350.309196,55.71434829
38,413,905.031916,252.7824151
39,416,617.119232,235.3862024
40,417,266.566012,76.23004234
41,418,699.028106,210.3168597
42,419,335.778558,85.45333847
43,420,326.421276,108.6936163
44,423,590.600148,148.589596
45,424,925.449338,303.0846204
46,425,1190.569496,367.6287633
47,426,1654.592578,460.872597
48,427,1084.013726,355.0785854
49,430,1573.055522,479.6274814
50,431,3236.393316,881.6722102
51,432,1770.798978,534.3507793
52,433,2385.79008,721.6020223
53,434,1733.681016,495.9817541
54,437,1464.647388,492.635868
55,438,1719.201,550.8672659
56,439,2635.595608,766.7943239
57,440,2233.029758,712.5481863
58,441,2694.720452,781.0639817
59,444,2400.564388,849.7776731
60,445,2764.05619,957.4918905
61,446,3372.042812,1017.519078
62,447,2123.079246,706.9977719
63,448,2031.779342,662.7984655
64,451,2473.369798,854.3519597
65,452,1808.62258,539.8105682
66,453,1644.258728,464.1619724
67,454,2805.664642,751.0868407
68,455,2267.40245,693.3584686
69,458,3066.41349,907.5002851
70,459,3462.157288,1037.722534
71,460,1768.360154,588.2189282
72,461,2792.874386,871.3446549
73,462,1749.816808,547.1981555
74,465,3933.17128,1050.665971
75,466,2302.993846,721.4426528
76,467,2402.181932,653.2102752
77,468,2184.182596,708.4361999
78,469,47.524618,9.632431686
79,472,2011.772796,655.6550126
80,473,2732.260972,755.8803102
81,474,1982.237042,622.6649878
82,475,2068.068,620.8010013
83,479,1543.292028,545.7524322
84,480,3292.648518,875.9656857
85,481,3264.927604,851.1026921
86,482,1332.004768,382.478568
87,483,1809.58369,511.6487874
88,487,2902.536742,877.4330598
89,488,1998.823004,636.4336444
90,489,2056.096074,639.2601462
91,490,1788.174832,450.2798504
92,493,2212.488318,620.4276333
93,494,2074.604256,587.0968606
94,495,1969.740252,576.2679787
95,496,3397.130084,911.5791281
96,497,2910.169572,835.6473682
97,500,3709.024144,957.237374
98,501,2624.547032,678.7521032
99,502,1931.615986,593.5288799
100,503,1926.89044,444.6966653
101,504,2019.96589,558.1327524
102,507,1567.687938,440.7031768
103,508,2265.197856,670.0651112
104,509,1808.049218,561.0569573
105,510,3040.5886,898.3824841
106,511,2373.724226,611.9491811
107,514,2577.748704,834.6168778
108,515,2635.222728,773.8748151
109,516,4518.746398,1273.438039
110,517,3101.11847,829.4103499
111,518,4171.287492,1232.196661
112,521,2928.72755,846.7283579
113,522,3814.265748,1100.95629
114,523,3291.013746,960.6582198
115,524,2736.235684,1094.535124
116,525,3241.67122,818.2582696
117,528,2575.009806,802.0391703
118,529,3546.555254,1082.387903
119,530,3536.591334,908.6932968
120,532,2768.419004,713.8266003
121,535,3552.780698,1066.173338
122,536,2977.771654,831.8026274
123,537,3255.211366,875.1016805
124,538,3058.804378,842.4059261
125,539,2177.022828,676.6290262
126,542,2702.453936,806.292162
127,543,2515.09861,816.5525395
128,544,4380.805578,1040.354427
129,545,3225.13293,949.9524507
130,546,3271.430348,845.5540354
131,549,2728.44084,804.405413
132,550,2121.620884,598.637332
133,551,3310.03747,975.8414085
134,552,2817.562818,795.9092571
135,553,3887.978342,1102.119012
136,556,2234.135064,714.5890502
137,557,3406.813754,979.6804737
138,558,1641.481598,532.8621948
139,559,2701.803756,770.3216014
140,560,1840.923428,600.3410397
141,563,2205.75925,625.0598346
142,564,4191.88628,1133.060833
143,565,2413.322548,636.78968
144,566,1712.639964,498.1314158
145,567,2381.361186,729.5140381
146,570,2344.596752,740.5494926
147,571,3064.845506,891.9867401
148,572,2364.877176,677.6141928
149,573,2035.667678,620.0034245
150,574,2996.15865,936.5010401
151,577,2694.866182,737.8807011
152,578,2710.20335,807.2568682
153,579,2951.102592,825.803997
154,580,2830.267878,892.2583909
155,581,3278.277062,1069.98551
156,584,2695.608756,802.5797596
157,585,2906.689634,834.5785618
158,586,3250.550956,1111.959966
159,587,2908.557456,811.706787
